time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
821,52,-5.7292985916137695,23.815927505493164,8.855860233306885,32.10747241973877,107.76074409484863,240.6280893087387,110.03208875656128,299.1828954219818,106.61679983139038,353.4634459018707,80.57028293609619,242.13586628437042,88.03900480270386,303.6376690864563,93.13004493713379,359.9778985977173,1.00,3.28,2.92,2.01,2.17,2.00
910,52,-3.741331100463867,24.45103883743286,8.122050762176514,27.16913938522339,107.6641058921814,241.1878126859665,110.5474305152893,299.016877412796,107.08743095397949,354.4546616077423,80.72284698486328,242.74935722351074,88.45976114273071,302.42175936698914,92.37410545349121,358.6065924167633,1.93,3.62,2.25,1.99,1.82,2.50
978,52,-3.5219693183898926,24.537277221679688,8.11288833618164,28.278937339782715,107.58816719055176,241.1052703857422,110.62607288360596,299.0155255794525,107.22596883773804,354.40544843673706,80.68939447402954,242.74253368377686,88.61765384674072,302.370582818985,92.35699653625488,358.4977376461029,2.13,3.67,2.16,1.96,1.66,2.62
69,53,-3.7383341789245605,24.029853343963623,7.592418193817139,28.133347034454346,108.10212850570679,241.1336749792099,110.50005197525024,299.2597568035126,107.39286661148071,354.33273911476135,81.08920097351074,242.75415301322937,88.62445592880249,302.5545287132263,92.27620124816895,358.2936429977417,1.94,3.15,2.12,1.80,2.00,2.18
139,53,-3.977537155151367,23.652448654174805,6.841485500335693,27.838075160980225,108.52004528045654,241.2674582004547,110.28165578842163,300.11791348457336,107.5058126449585,354.3165171146393,81.78483724594116,242.75571405887604,89.24519777297974,302.8657400608063,92.26719617843628,358.26602697372437,2.24,2.61,1.77,1.63,1.93,1.99
226,53,-4.616103172302246,22.962841987609863,5.979831218719482,25.9692120552063,109.2022705078125,241.88579320907593,110.25135040283203,301.13951325416565,107.52407312393188,354.3121075630188,82.5730562210083,242.95554399490356,89.29791927337646,303.87330651283264,92.19369649887085,358.3149826526642,1.84,2.22,1.72,1.64,2.31,1.82
302,53,-6.130735874176025,21.387770175933838,4.8796820640563965,24.76245403289795,110.86915254592896,242.1625006198883,112.3603892326355,301.1182701587677,107.72807121276855,354.29858922958374,83.66291999816895,243.24036240577698,89.41979169845581,303.9013087749481,92.1850848197937,358.3244776725769,1.42,3.62,1.65,2.79,2.72,1.85
374,53,-7.7152204513549805,20.48827886581421,3.060600757598877,25.285441875457764,111.78429365158081,242.9781872034073,121.76284790039062,300.03870248794556,108.0738115310669,351.46775364875793,84.83563899993896,243.54938507080078,89.40452814102173,304.0009582042694,91.60194396972656,358.3163344860077,1.13,14.13,1.32,8.50,2.47,7.05
457,53,-7.642171382904053,20.87698459625244,-0.35568952560424805,27.68442392349243,114.24209117889404,242.9151177406311,137.67059326171875,296.4535439014435,114.68428373336792,345.84882616996765,88.11040163040161,243.62788796424866,89.93606328964233,304.347767829895,91.59999132156372,359.5754063129425,0.00,28.50,0.99,14.66,3.31,15.36
529,53,9.76219654083252,39.08759593963623,-6.647379398345947,21.734933853149414,120.077805519104,242.85805106163025,150.3892421722412,293.00228118896484,135.46317100524902,347.06998229026794,94.35006380081177,244.3031930923462,93.2921576499939,305.04576444625854,91.50501251220703,360.54731011390686,0.48,27.61,1.02,8.81,5.26,19.57
