time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
863,29,-8.752770424,-8402.659607,19.14254665,-3.611125946,14.7976613,125.0409794,245.4840678,123.7270403,298.1378639,120.3452682,349.8193216,102.1076632,246.7313433,104.0275812,302.6652503,102.8348207,355.3377306,1.84,1.3,0.72,2.09,6.34,1.33
932,29,-9.652183056,-9266.095734,19.39351559,-5.022318363,14.0601182,125.9756041,244.5169276,123.5119772,298.1666064,121.350832,348.8825333,104.0895724,245.5582416,103.8539958,302.6857531,103.278966,353.8365519,0.23,0.11,0.35,1.36,8.22,2.43
4,30,-9.306635857,-8934.370422,19.46074963,-5.651550293,14.59346294,125.9123468,244.3317908,123.6523247,298.0020046,121.379571,348.8773513,104.034698,245.3099388,103.8525295,302.4161911,103.6318946,353.9795887,0.04,0.08,0.13,1.42,8.2,2.28
68,30,-10.36643028,-9951.773071,18.72101784,-7.971711159,14.87558842,127.0503187,244.2530948,124.7803402,297.7262306,121.5765524,348.2942283,106.7933178,245.1038486,108.6167908,301.9900417,105.2569342,354.4167137,3.1,0.67,2.05,2.02,7.25,1.97
136,30,-12.13429213,-11648.92044,17.02021122,-4.29666996,18.81256342,128.6920452,244.128356,127.0291471,297.7351141,121.5804291,347.8270411,108.777287,244.8137516,115.9882021,302.0259297,110.0648403,355.0039887,7.65,2.5,3.59,3.49,3.28,0.08
200,30,-14.22400475,-13655.04456,14.29048061,1.36544466,23.11177254,131.4983511,244.1662234,128.3261347,297.8871632,122.352047,346.2289488,110.7458782,244.811064,119.773221,301.8862724,116.6891885,353.8464653,7,2.07,1.9,3.96,2.23,0.19
268,30,-18.70910883,-17960.74448,1.565279961,13.13531399,35.57506084,134.380002,243.1938529,128.3177948,296.7909551,121.815505,345.245297,115.2083158,244.1614759,131.1748552,296.6867352,133.5798311,351.5614808,8.29,0.68,1.42,4.31,2.49,1.15
330,30,-21.25963211,-20409.24683,2.072696686,26.56328201,47.6751852,136.1495733,241.393066,128.1749725,295.9011269,120.8397818,345.3900075,117.8933287,242.5573647,138.9582825,294.211657,148.288064,351.7385066,7.71,0.06,5.22,4.75,5.84,1.24
415,30,-28.03714514,-26915.65933,0.514554977,41.97668552,63.16185951,141.5989351,241.489014,130.4277134,296.5238714,119.4986129,348.9899397,124.2544985,242.6267749,145.7043457,295.2964389,167.3011923,353.4402394,1.1,0.17,11.81,6.67,5.8,3.07
485,30,-33.74700308,-32397.12296,-3.339071274,49.84422684,73.5140419,147.319479,241.7529595,133.848424,297.6664925,119.5527363,349.4459903,130.4455376,242.872197,155.0405645,295.4040384,180.6572628,353.9738917,0.93,1.11,13.84,8.81,8.49,2.68
