time(in ms), time(in s),hsL, hsL*Vwidth, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
813,23,-7.741706371,-7432.038116,22.5676775,6.591467857,19.91048098,112.8855944,213.2631201,111.5932131,279.9506199,108.8751125,340.1611161,81.00795507,216.075899,86.7314744,283.2572365,89.70351934,341.3642478,1.1,0.83,1.66,1.44,7.16,2.25
887,23,-7.805292606,-7493.080902,21.38719082,6.615550518,22.69609451,112.569108,210.2722692,110.632031,277.8608143,109.2027712,340.0375843,81.27636194,211.9978201,86.17987633,280.4746163,89.81767416,342.0254552,0.4,0.18,1.91,0.72,8.26,3.03
949,23,-7.766497135,-7455.83725,21.71710968,6.789250374,22.35872269,112.4247408,210.3525102,110.3420591,277.9819,109.0721011,340.5985308,81.1042285,211.9786048,86.17443323,280.4602289,89.82111454,342.6705372,0.5,0.34,1.9,0.64,8.15,3.06
21,24,-8.014862537,-7694.268036,21.62685156,5.911874771,20.65917492,112.6691079,210.3270829,110.6406283,278.0028534,109.0902615,340.817914,81.98245525,211.8976718,86.49672031,280.7258964,89.83482599,343.0464113,0.39,0.17,1.73,0.78,8.05,2.95
92,24,-8.135361671,-7809.947205,21.66101217,5.574038029,19.90405083,112.7902722,210.3210801,110.8141065,278.0271864,109.1335559,340.938195,82.31876135,211.8702972,86.67788744,280.8776879,89.83634949,343.1544936,0.4,0.08,1.64,0.84,8.05,2.9
165,24,-8.754551411,-8404.369354,21.0316658,2.606813908,18.42579603,113.425498,211.4407521,111.4271951,278.7491298,109.3701696,340.8851516,83.8090539,212.2159803,89.64587688,281.9177949,89.83799458,343.1377888,2.6,0.11,0.11,1.05,7.07,2.37
252,24,-14.86621857,-14271.56982,16.41352415,-3.120338917,18.20309401,117.5402141,212.4301171,115.7761359,279.0619504,108.2341075,339.7635162,89.84009027,213.1997448,106.6150618,281.7564762,94.6340704,340.7727885,14.35,3.14,6.51,3.98,2.04,1.92
323,24,-19.10669088,-18342.42325,14.21469212,1.044945717,33.57200146,120.9507322,212.6205164,122.580843,278.3864522,108.5336852,336.8451655,92.88383961,213.1650317,120.8566618,275.5311549,104.7625279,335.8852994,22.69,8.5,8.52,7.68,4.91,1.04
402,24,-18.03308487,-17311.76147,15.22584915,9.022142887,39.94298458,124.2163181,212.5812972,123.417263,278.4355366,114.0964794,337.4355626,96.07563972,213.1391215,129.7588921,268.6989409,114.1526556,334.3680596,26.44,4.69,7.6,5.06,9.66,0.12
469,24,-25.4074502,-24391.15219,9.685792923,53.08184624,85.05067348,129.3280649,212.5556928,122.6326132,278.6601663,113.8249683,339.2636919,103.5861111,213.1651926,142.3149061,270.7411265,158.6540365,343.9405847,13.57,1.41,7.18,4.66,12.54,1.06
543,24,-31.682446,-30415.14816,4.678144455,69.79029179,98.12437534,135.5156994,213.5209823,125.902791,278.6424637,113.6223936,339.9416363,112.1433592,213.3796674,148.8820553,273.7009335,183.7092447,344.2144597,3.38,1.68,15.54,6.41,12.1,1.56
621,24,-37.29509354,-35803.28979,-0.688533783,72.53055811,102.045486,141.0760546,215.1349586,127.4951649,278.494792,113.529532,340.1657188,116.8954539,214.0897018,156.0322809,276.8218982,191.7080355,346.4328825,3.26,0.38,16.1,7.24,12.26,2.12
685,24,-46.6639924,-44797.43271,-10.40781498,62.79596329,93.5547781,150.4241467,216.5396905,132.8585386,279.7748172,113.1356764,340.2331817,131.3012266,216.3376236,174.0068293,279.5531809,197.620883,347.8490567,9.8,1.52,11.02,10.38,13.58,3.9
758,24,-59.49504375,-57115.242,-23.7188673,54.59268093,89.22254562,163.9230967,217.7264071,143.9322567,279.645009,114.1644287,337.0406342,143.7689495,217.2324407,186.8356562,279.2771173,203.4714603,350.382489,13.83,5.97,7.52,16.25,14.29,5.08
830,24,-64.60492373,-62020.72678,-35.68287849,41.83669567,77.22845078,177.1903896,217.6609558,164.6268797,281.6332662,125.4734516,328.1146395,155.4122257,217.1807009,194.5912027,282.3881686,203.7492943,350.4879642,14.35,19.05,4.35,25.34,12.13,1.69
905,24,-61.90175056,-59425.68054,-44.54708576,29.87092495,62.13071823,195.2114725,216.8779868,197.7303457,281.6009831,146.5130711,318.6885631,169.0453005,217.0350569,199.3258238,282.6398671,204.1813517,350.6144893,12.25,39.09,2.32,37.84,7.18,3.42
