time(in ms), time(in s), hsL, hsL*width, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
965,49,-13.51325512,-12972.72491,17.88622856,3.007993698,32.51990318,136.6550875,241.4793259,135.6637001,296.3561475,129.0827465,343.7693846,118.693099,243.3080184,128.9275217,299.1424048,128.091259,351.3203073,6.4,3.88,0.5,4.45,2.71,4.41
56,50,-10.81993103,-10387.13379,19.88432407,3.511705399,33.63575935,134.9384451,241.1117399,135.1819324,295.3906167,129.6821308,344.3592346,118.6276102,243.1000614,128.8202047,298.8458705,127.8939772,351.5377271,6.44,3.76,0.55,3.6,2.74,3.76
112,50,-10.81568241,-10383.05511,19.97481823,3.222084045,33.03593159,134.8500538,240.980435,135.2155352,295.2187085,129.6876669,344.5985734,118.6060667,242.9270911,128.7867594,298.6183119,127.6702309,351.5460634,6.55,3.82,0.66,3.59,2.75,3.66
201,50,-10.6914854,-10263.82599,15.9103632,3.827283382,36.10588789,134.5649958,239.9498069,136.0389805,293.2214069,129.3049908,342.3977244,118.3730149,241.9539964,129.9968576,297.6200151,128.3001852,351.5485096,7.71,5.3,1,4.39,1.94,2.89
263,50,-10.26582241,-9855.189514,19.82462883,3.818442822,37.27390051,133.8561773,239.1712314,137.8171206,292.739929,129.3104267,344.0470576,118.1599975,240.6456792,132.5425673,294.9353707,127.952013,351.4595461,11.09,7.71,2.6,5.31,0.13,0.76
344,50,-11.16262436,-10716.11938,12.56968975,3.999574184,38.38881254,132.0809126,239.1945988,133.6266518,293.5019445,127.3080254,346.1573339,118.5613561,240.4203093,139.7939873,294.726094,129.7495794,351.443131,18.09,4.78,5.67,3.85,4,1.06
422,50,-11.6134572,-11148.91891,12.88025379,6.421730518,40.5190444,131.4893818,239.1180432,131.228714,293.5238957,126.8784714,348.4858668,119.0626788,240.101518,143.2427216,294.0802395,133.8451195,350.6717813,19.48,2.39,5.32,2.54,5.73,1.33
497,50,-11.51902199,-11058.26111,11.16242409,16.0834837,45.69602966,131.6326046,238.3966148,131.2243938,293.0028927,126.4700174,346.8328643,120.1331806,239.3339664,142.3314142,293.027451,142.0461702,348.2693803,13.26,2.6,0.15,2.83,4.5,0.19
568,50,-15.48170328,-14862.43515,9.750351906,32.41074085,61.69353962,134.1675997,238.4235227,131.4555931,293.1958508,126.5223169,346.7568719,122.1195602,239.3650103,145.3530836,292.7864385,158.5728264,348.1228995,6.09,1.37,7.67,2.95,5.32,1.77
664,50,-18.80619764,-18053.94974,9.999890327,45.56144714,75.97695351,137.5023651,238.9474386,131.8714857,294.1035748,126.5007591,347.3094821,123.9396715,239.3868327,151.9847059,292.629658,171.6617346,348.1543136,5.23,0.04,11.29,3.24,8.73,2.67
725,50,-22.40862608,-21512.28104,8.219132423,52.62479782,82.80243874,141.808548,239.9705833,134.4924259,295.3746521,126.6633224,347.5335968,127.2465992,239.6880984,155.8758116,292.6901686,182.6117992,348.2593381,1.76,0.58,15.16,4.81,9.46,3.11
819,50,-26.35278225,-25298.67096,7.452707291,52.90978432,80.95594883,146.4206171,242.5545645,137.86623,296.0244012,127.1922398,347.5156689,133.9581156,242.6633066,161.1513805,295.108341,188.490057,347.8206682,0,1.51,16.28,6.63,8.81,4.25
881,50,-32.38447666,-31089.0976,0.737199783,44.96691227,76.4820528,153.007679,243.6239934,142.3025179,297.3275363,128.2708025,347.3329782,141.1717415,243.7691063,167.679348,295.043453,190.8745337,348.2016921,2.42,2.57,13.81,8.95,8.91,5.77
969,50,-41.23847008,-39588.93127,-9.255523682,37.33307362,69.66343403,162.9925203,244.2417973,151.2967443,297.7145469,129.891715,346.5962291,149.9940634,244.1794199,174.6714449,294.4415975,192.0255089,348.5749912,5.22,6.82,10.24,13.82,8.42,7.3
39,51,-47.08687305,-45203.39813,-13.66929531,31.09532833,62.60866642,170.7332325,244.0464252,160.7967424,297.7838123,134.0160513,343.3329034,157.8255415,244.0768898,181.4875031,294.5890117,193.6781931,349.4094908,7.63,12.36,7.15,18.28,7.74,6.4
119,51,-45.73020458,-43900.9964,-19.2724371,24.34989452,55.18647194,181.3157845,244.4984847,180.5655527,297.7250397,146.2050962,334.0252411,165.915041,245.3621453,184.3055391,297.8645039,194.3874121,349.9452996,4.93,27.58,6.23,28.02,4.45,2.19
192,51,-36.24295235,-34793.23425,-12.31105328,19.31651115,50.0977993,189.098568,244.8007321,193.6080265,297.5765634,162.9281902,329.4639301,172.2996569,245.6375813,191.3807344,299.229598,194.801116,350.0420523,9.16,31.17,2.19,28.41,5.48,1.21
281,51,-32.20632076,-30918.06793,-14.90394115,14.55682755,45.13322353,191.9101954,244.9372673,199.8083353,294.8739266,170.0383329,327.4745142,176.3509512,245.5331844,191.2976933,298.700484,193.7738657,349.8725581,7.43,32.27,1.58,27.18,3.37,3.94
