time(in ms),duration(in ms),HSL_count,HSL_time,HSR_count,HSR_time,TOL_count,TOL_time,TOR_count,TOR_time,FPS, time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
562,,,,,,,,,,,36,-2.894825935,25.79504013,11.12975121,36.83609962,176.451745,220.5178303,179.0575218,275.4033101,178.145299,325.893352,155.3955317,223.4412181,164.0445185,278.5056067,169.185791,331.1501491,1.9,2.11,3.16,0.57,4.62,0.15
637,75,,,,,,,,,,36,-2.908444405,26.19066238,12.24998474,39.99342442,176.6251373,219.6617657,179.1325808,275.9808969,178.1983709,325.971179,155.4095936,223.4458852,166.1527205,279.4554949,170.4161882,331.9940794,3.54,2.04,2.63,0.59,3.59,0.12
697,60,,,,,,,,,,36,-2.937598228,26.20379448,12.31600285,40.10375977,176.6248941,219.654572,179.1076183,275.9868515,178.1678152,326.032269,155.4200935,223.4695905,166.1968517,279.4625437,170.5599403,332.0399773,3.51,2.03,2.69,0.59,3.58,0.1
770,73,,,,,,,,,,36,-2.886629105,26.17166519,12.7446413,39.13192749,176.6478395,220.474813,179.175024,276.2764335,178.3884859,326.4537191,155.4637384,223.8931972,166.5643787,279.4743562,171.4693022,332.1403348,3.41,1.96,3.01,0.49,2.3,0.24
841,71,,,,,,,,,,36,-2.921104431,26.12318516,13.0399704,40.39659977,176.70084,220.7987702,179.2630434,276.3992894,178.4481812,326.4336026,155.5054235,224.013446,166.7394733,279.4489932,172.0889425,332.1342838,3.23,2.01,3.28,0.51,1.87,0.37
913,72,,,,,,,,,,36,-4.358024597,24.78188038,10.56216717,36.62801743,178.2223606,221.5298063,180.4422569,276.4024115,178.8700533,325.9604287,157.7043056,224.1968769,168.233428,279.4471586,172.0057583,332.1320951,3.81,2.33,2.32,1.01,2.08,0.28
987,74,,,,,,,,,,36,-6.983642578,22.35716343,8.035082817,36.10861301,180.8402681,221.9310272,182.2766018,276.4234293,179.1128254,324.9774528,160.7166481,224.184984,174.154458,279.1732836,173.9778614,332.1209908,7.93,2.95,0.09,2.08,0.6,0.59
61,74,,,,,,,,,,37,-8.486323357,19.85795975,8.307781219,37.15524673,183.5264111,222.138083,185.9932709,276.4074969,180.05054,324.2880499,164.1930485,224.2699081,179.4209862,279.0011179,177.5353861,331.2668252,10.06,5.46,1.15,3.98,2.05,0.4
141,80,,,,,,,,,,37,-7.487626076,21.54238701,9.931240082,40.1578474,184.8909187,222.3724651,188.2869101,276.3717699,182.8152609,325.6073749,166.5315199,224.2642111,182.1642494,278.9204264,181.7820024,333.0255604,9.37,5.6,0.21,3.56,2.29,0.66
212,71,,,,,,,,,,37,1.107902527,32.51737118,5.906968117,34.63455677,187.7631426,222.1668577,192.3829794,275.6512427,192.9471731,327.6217997,170.3346348,223.8216627,184.70222,278.1510723,181.3855076,331.8144786,10.45,2.43,1.98,0.37,1.61,2.52
