time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
847,58,-8.740940094,-8391.30249,16.0910368,-1.720933914,16.29758835,173.2827759,240.6887126,170.1174688,297.6786268,168.4682465,349.7438443,150.5591726,241.9707173,154.0285921,297.9984641,152.1615458,355.6326878,3.04,0.77,1.03,1.01,3.97,2.93
917,58,-9.561824799,-9179.351807,16.11136436,-1.88554287,21.96461678,173.5268354,240.8004642,168.9457512,297.8530455,168.6525393,349.4402611,150.3289604,242.0498961,155.0300503,298.5053051,152.5166988,357.5811303,4.05,2.4,1.36,0.17,3.13,3.63
983,58,-9.475593567,-9096.569824,16.11847401,-1.900649071,21.51935577,173.528924,240.7876378,168.9392853,297.8387547,168.7002611,349.2613685,150.3325796,242.0426702,155.0353146,298.5099077,152.5125647,357.5934577,4.06,2.44,1.36,0.14,3.09,3.82
62,59,-9.728565216,-9339.422607,15.71283817,-3.865942955,22.53340244,174.2814302,240.8033931,170.747695,298.2075477,168.9723873,349.2487192,152.705698,242.1152991,160.9398365,299.0676999,154.4444275,357.9198933,8.2,0.86,3.54,1.11,0.59,2.6
143,59,-15.56602478,-14943.38379,15.29628754,-4.695539474,24.44809914,174.6427202,240.8763278,173.5133314,297.7260375,166.9537783,349.285959,156.4064169,242.1234745,170.4660559,298.4679365,159.9435282,355.8658147,13.88,3.45,5.87,4.08,3.34,0.39
199,59,-16.64471626,-15978.92761,11.79222107,1.127514839,30.88937759,176.0091162,240.8058232,175.6601715,294.3985963,166.7127085,344.7528434,158.2218504,242.1900523,175.3443718,295.7501721,165.1682711,353.3569407,15.87,5.5,5.66,5.69,5.47,0.87
294,59,-16.88166618,-16206.39954,10.1589632,9.886651039,41.41021729,178.1583166,240.3069484,175.4618311,295.5477512,167.2147036,349.4344354,161.3038731,241.2669432,187.2599459,294.1486359,179.6652031,351.8996322,19.67,3.35,4.22,4.91,11.16,1.09
346,59,-22.50183105,-21601.75781,5.596647263,34.54613686,63.33798409,182.754178,240.2867353,175.9588909,296.3482618,165.9760094,350.0694752,165.6028318,240.8952695,194.474988,291.3936317,204.0984106,352.1349156,12.74,2.07,5.11,5.95,14.02,0.29
444,59,-29.22520638,-28056.19812,1.262154579,47.27492809,76.24229908,189.7990465,243.0976313,178.9914036,297.7529132,166.3623476,350.1751113,175.5629683,244.8200279,203.5027599,295.7718658,225.2739286,353.2129705,5.11,1.37,12.05,7.7,11.93,2.89
497,59,-35.23517132,-33825.76447,-2.71589756,53.39056492,83.84496689,196.2366772,245.0750256,181.2454033,299.3445683,167.3551941,350.2910149,182.9454517,246.7890215,214.438448,298.3532882,237.7606344,354.7360682,5.86,0.11,13.12,8.7,13.64,5.05
