time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
74,58,-8.098783493041992,22.834525108337402,5.258274078369141,28.29324245452881,164.15875911712646,222.4788737297058,160.42768478393555,279.9442791938782,161.92945003509521,330.9580600261688,142.9647159576416,224.14555549621582,147.4766492843628,283.4762978553772,152.82395839691162,337.7071523666382,0.73,3.04,3.19,0.97,3.79,1.38
145,58,-7.618589401245117,22.152771949768066,5.126123428344727,29.661755561828613,164.70176696777344,221.60262823104858,160.62678337097168,279.5029056072235,162.17309474945068,330.8292496204376,142.85260677337646,223.26359689235687,148.17877292633057,282.2726833820343,152.3847484588623,338.218435049057,0.48,3.24,2.43,0.99,3.34,1.47
207,58,-7.664165496826172,21.965975761413574,5.109858512878418,29.289536476135254,164.69671726226807,221.69186532497406,160.62857151031494,279.48681235313416,162.07297325134277,330.5914556980133,142.82255172729492,223.56935262680054,148.08464527130127,283.14992666244507,152.20782279968262,338.12631726264954,0.43,3.18,2.43,0.93,3.41,1.49
277,58,-8.323888778686523,21.407876014709473,4.874897003173828,28.648409843444824,165.24624824523926,221.75520837306976,162.93172359466553,279.4776713848114,162.06693649291992,330.9028923511505,143.16068172454834,223.6965698003769,149.29224014282227,283.15945386886597,152.23427295684814,338.16590666770935,1.60,0.75,1.74,0.53,2.89,0.59
340,58,-9.574928283691406,20.248231887817383,4.00425910949707,27.45962619781494,166.40008449554443,221.98014378547668,166.38078689575195,279.32275772094727,162.0536470413208,330.72216510772705,144.18939113616943,223.88482868671417,150.48621654510498,283.21919202804565,152.36639499664307,338.15911531448364,2.31,2.70,1.12,2.69,3.00,0.63
409,58,-12.815852165222168,16.36051654815674,-0.18669605255126953,22.650375366210938,171.33338928222656,223.06870758533478,178.2563352584839,279.1952347755432,163.96772861480713,330.1135504245758,147.71364212036133,224.86444115638733,151.16655349731445,283.54640007019043,151.44031047821045,337.93834805488586,1.73,12.94,0.17,8.95,5.06,3.66
471,58,1.3164854049682617,32.52305030822754,-5.5339765548706055,20.13321876525879,174.5589780807495,223.34673464298248,187.71065711975098,276.7281711101532,181.01267337799072,328.93378615379333,150.3260850906372,225.07938265800476,152.20155715942383,283.80624175071716,150.71654319763184,338.0232560634613,1.91,12.02,0.87,4.11,4.81,7.75
551,58,12.013249397277832,44.501681327819824,-8.722343444824219,19.003257751464844,177.16349601745605,223.75133514404297,193.42161655426025,275.96367716789246,193.4959602355957,328.9331102371216,153.2215690612793,225.39461731910706,153.67884635925293,284.79504346847534,150.75811386108398,339.1939115524292,1.98,9.89,1.72,0.06,5.09,10.05
612,58,31.157455444335938,61.666460037231445,-16.019482612609863,13.166241645812988,183.0831241607666,225.63860714435577,203.65731239318848,276.05592370033264,216.7034912109375,329.8025965690613,160.68172931671143,227.72804260253906,157.33477592468262,285.6545841693878,150.78176021575928,339.73129749298096,2.04,5.15,3.88,7.79,6.69,13.00
699,58,47.63866424560547,78.72897148132324,-24.311728477478027,3.9162111282348633,191.90171241760254,227.5941789150238,214.4745397567749,275.0163960456848,239.26032543182373,328.84408235549927,170.466570854187,229.59589004516602,164.89179611206055,285.58844089508057,152.63245582580566,339.52536821365356,4.08,0.47,7.27,14.54,6.90,14.94
